index,sample,treatment,replicate,timepoint,but,pro,ace
H008_CTRL,H008,CTRL,1,4,0.3277851245914646,0.13810715110461091,3.6100849771046137
H008_CTRL,H008,CTRL,2,4,0.25031265939961833,0.0037670310214763525,3.65190097745685
H008_INUL,H008,INUL,1,4,1.5671235335235103,0.8679499268724489,3.150673652694609
H008_INUL,H008,INUL,2,4,1.3803326847146389,0.838450177045647,1.891824806269815
H008_PECT,H008,PECT,1,4,0.4802901781497364,0.33785072357786206,0.3530435452624161
H008_PECT,H008,PECT,2,4,0.6048769198798478,0.45429095142791187,2.402830001761183
H009_CTRL,H009,CTRL,1,4,0.23181678134949169,0.09881221126635653,0.12988044954414946
H009_CTRL,H009,CTRL,2,4,0.20467857277990087,0.08619198116630244,0.19932203801128456
H009_INUL,H009,INUL,1,4,0.5104814516521354,0.12351390355792402,0.21001735927045428
H009_INUL,H009,INUL,2,4,0.5005755312076021,0.12179419993066376,0.06091933933661531
H009_PECT,H009,PECT,1,4,0.3238451538623697,0.012293704094878288,-0.012813793585591982
H009_PECT,H009,PECT,2,4,0.3315363804911271,0.007798529423620915,0.03260856188454264
H010_CTRL,H010,CTRL,1,4,0.17968672021748017,0.32382441467897966,0.00044199670256429846
H010_CTRL,H010,CTRL,2,4,0.1787522978114052,0.3151044679931746,6.4285578980601255
H010_INUL,H010,INUL,1,4,0.4464033765601919,0.3163106284191022,9.95360788578244
H010_INUL,H010,INUL,2,4,0.49023997552344956,0.36430988143450327,10.293819061984776
H010_PECT,H010,PECT,1,4,0.16048366265495334,0.13475382463438035,10.332872627775636
H010_PECT,H010,PECT,2,4,0.22327955681393552,0.22573984430497473,10.019717964008839
H012_CTRL,H012,CTRL,1,4,0.30559306692745447,-0.013223207879459853,-0.5817874249220711
H012_CTRL,H012,CTRL,2,4,0.17329768308034832,-0.12765312112712812,-0.2967269824374661
H012_INUL,H012,INUL,1,4,1.5866925373755447,0.36012327962950863,-0.28321295521934076
H012_INUL,H012,INUL,2,4,1.7878650422913265,0.3559699302067707,0.27288071162472605
H012_PECT,H012,PECT,1,4,0.7352979119632956,0.10070771639162501,-0.18769102105983215
H012_PECT,H012,PECT,2,4,0.516222599069903,0.019812797599634724,0.7233596898046066
H019_CTRL,H019,CTRL,1,4,0.113778770692606,0.00860008263531531,0.946552821383114
H019_CTRL,H019,CTRL,2,4,0.1579613498314869,0.036712616910190454,1.2131098854476035
H019_INUL,H019,INUL,1,4,2.055352870956762,0.15939901588851746,1.6712240135765803
H019_INUL,H019,INUL,2,4,2.1200044105873275,0.1947999849753972,1.643604157827748
H019_PECT,H019,PECT,1,4,0.9577436969351218,0.187498028020884,1.889541790411542
H019_PECT,H019,PECT,2,4,0.813839655974189,0.10617586297562265,1.2141281289775137
H020_CTRL,H020,CTRL,1,4,0.4974093424588296,0.19740059424266532,4.592605620192494
H020_CTRL,H020,CTRL,2,4,0.5373012393689176,0.2027195531814714,3.4881914112326546
H020_INUL,H020,INUL,1,4,0.7897054500255294,0.18278806968550643,1.375830080012367
H020_INUL,H020,INUL,2,4,0.9084527745256312,0.11370005357925694,1.9585288547021769
H020_PECT,H020,PECT,1,4,0.761139621123426,0.20016236138396848,2.0087279192918714
H020_PECT,H020,PECT,2,4,0.9191846881463106,0.0740854995047977,2.0343666653782204
H021_CTRL,H021,CTRL,1,4,0.1589345115144309,0.028733271857976417,1.071903980596376
H021_CTRL,H021,CTRL,2,4,0.15944193579801447,0.018509248425016805,1.2497146525895277
H021_INUL,H021,INUL,1,4,1.620048897249145,0.11517020666568506,0.9829504922242824
H021_INUL,H021,INUL,2,4,1.9005438153180632,0.10982804981053718,1.0066093593950631
H021_INUL+PECT,H021,INUL+PECT,1,4,1.6341737441248978,0.11419383335012279,1.0477635896704234
H021_INUL+PECT,H021,INUL+PECT,2,4,1.6118470756472227,0.06322714627777049,0.8374661149950064
H021_PECT,H021,PECT,1,4,0.9363546434447447,0.09097009662996225,1.4922742188614633
H021_PECT,H021,PECT,2,4,0.7717185281620478,0.09113747491263002,1.1986410329576254
H025_CTRL,H025,CTRL,1,4,0.9672201582942981,0.2375819738329834,1.6362513403388381
H025_CTRL,H025,CTRL,2,4,0.7395380390890003,0.12691003068971085,0.9292987347201365
H025_INUL,H025,INUL,1,4,2.2884073655306083,0.4796123404942656,1.6859704053184652
H025_INUL,H025,INUL,2,4,2.3949943466322083,0.483217573897593,2.0558524555007516
H025_INUL+PECT,H025,INUL+PECT,1,4,1.9514198029397516,0.3243983201421414,0.2906712416898998
H025_INUL+PECT,H025,INUL+PECT,2,4,1.9481198513971894,0.22147472136972968,0.1015226249195802
H025_PECT,H025,PECT,1,4,1.652795994185107,0.2074172185430465,1.0771048681106583
H025_PECT,H025,PECT,2,4,1.7412259731868844,0.2656679050234212,0.3085824576452927
H028_CTRL,H028,CTRL,1,4,0.35235660614487807,0.18126473913745778,0.23836585888912687
H028_CTRL,H028,CTRL,2,4,0.2609535524239912,0.2518139234372476,0.354364143255415
H028_INUL,H028,INUL,1,4,1.3910495494290984,0.5555839121305115,2.874055329187218
H028_INUL,H028,INUL,2,4,1.3817889135492152,0.4458859634953962,3.3556894702980884
H028_INUL+PECT,H028,INUL+PECT,1,4,0.7842853704842638,0.41413664997577104,1.3072871541925775
H028_INUL+PECT,H028,INUL+PECT,2,4,-0.45558092895152,-0.5509174608302376,-6.332541282436199
H028_PECT,H028,PECT,1,4,0.729751584351686,0.6003004361169451,2.720574737293589
H028_PECT,H028,PECT,2,4,0.697089071315881,0.6097350993377484,2.0144327686039034
H012_CTRL,H012,CTRL,1,4,0.30559306692745447,-0.013223207879459853,-0.5817874249220711
H012_CTRL,H012,CTRL,2,4,0.17329768308034832,-0.12765312112712812,-0.2967269824374661
H012_INUL,H012,INUL,1,4,1.5866925373755447,0.36012327962950863,-0.28321295521934076
H012_INUL,H012,INUL,2,4,1.7878650422913265,0.3559699302067707,0.27288071162472605
H012_PECT,H012,PECT,1,4,0.7352979119632956,0.10070771639162501,-0.18769102105983215
H012_PECT,H012,PECT,2,4,0.516222599069903,0.019812797599634724,0.7233596898046066
