sample_id,acetateMeasured,butyrateMeasured,propionateMeasured
7117_control,21.479401185639116,5.0181185122465495,2.109786690245258
7117_inulin,20.142468194231668,7.198366874713648,3.1114605902297336
7117_pectin,21.944065143542264,5.697818098309104,2.3774689462304623
7119_control,8.153439241546213,9.16815636476587,2.976527152502638
7119_inulin,6.912506383356645,11.431788095505635,2.8652465515185472
7119_pectin,8.949274517640266,9.400787619937251,3.152273151679187
7122_control,8.789052265814073,2.149215350000549,2.3683097434928264
7122_inulin,9.15700004440596,4.326836168772675,2.766448204719768
7122_pectin,9.3933785163969,3.1089895287938307,2.674309460009764
7123_control,6.157352516707743,7.365156311420489,3.4513365326421748
7123_inulin,3.321876595839161,11.436430278534768,3.273140429859316
7123_pectin,6.12475576722396,8.479234838089207,2.808174211590858
7124_control,12.268675481249584,2.0864361616599574,1.9934281426684757
7124_inulin,16.45800306401119,2.4554613372740812,2.6545916381496206
7124_pectin,13.771448078332112,2.039832730076541,1.8946140468107033
7125_control,18.848980883234532,3.1946410215375347,3.7001761644741724
7125_inulin,18.56890694731233,3.282053668478518,3.4083775994384333
7125_pectin,15.342394924398855,2.963536352227813,2.3103734551860526
7126_control,8.603307688891848,5.847493504916288,3.610327782914974
7126_inulin,9.244660183396611,7.133366853905166,4.907377534192334
7126_pectin,11.092200648327005,6.274273566456427,4.174972045420289
7127_control,2.876923333111307,8.882325389411813,3.028015326084266
7127_inulin,2.8189652301338874,14.5984757598217,3.5760960782593236
7127_pectin,5.943723772730304,10.975473232158716,3.9812946176465953
7128_control,15.01991052199205,4.384545654375665,3.5014635375536303
7128_inulin,15.343987988188015,6.106670707295415,4.205041498770448
7128_pectin,14.288044805612913,5.224968058981074,3.7379154095542786
